child_id,age_in_months,vocabulary_item_definition,item_category,production_ability,comprehension_ability
1,12,SPOON,household,NA,NA
1,12,TAPE,household,NA,NA
1,12,TDD/TTY,household,NA,NA
1,12,TELEPHONE,household,NA,NA
1,12,TISSUE/KLEENEX,household,NA,NA
1,12,TOOTHBRUSH,household,no,yes
1,12,TOWEL,household,NA,NA
1,12,TRASH/GARBAGE,household,NA,NA
1,12,VACUUM,household,NA,NA
1,12,BASEBALL,games_routines,NA,NA
1,12,BASKETBALL,games_routines,NA,NA
1,12,BATH,games_routines,yes,no
1,12,BIRTHDAY,games_routines,NA,NA
1,12,BOWLING,games_routines,NA,NA
1,12,BREAKFAST,games_routines,yes,no
1,12,BRUSH-HAIR,games_routines,no,yes
1,12,BYE,games_routines,NA,NA
1,12,CALL(TDD),games_routines,NA,NA
1,12,DINNER,games_routines,NA,NA
1,12,FOOTBALL,games_routines,NA,NA
1,12,GOLF,games_routines,NA,NA
1,12,HI,games_routines,yes,no
1,12,I-LOVE-YOU,games_routines,no,yes
1,12,LET'S-SEE,games_routines,NA,NA
1,12,LUNCH,games_routines,NA,NA
1,12,NAP,games_routines,NA,NA
1,12,NO,games_routines,NA,NA
1,12,PEE/BM,games_routines,NA,NA
1,12,PEEKABOO,games_routines,NA,NA
1,12,PLEASE,games_routines,NA,NA
1,12,SHH/SHUSH,games_routines,NA,NA
1,12,SHOPPING,games_routines,no,yes
1,12,STORY,games_routines,NA,NA
1,12,THANK-YOU,games_routines,NA,NA
1,12,WASH-FACE,games_routines,no,yes
1,12,WASH-HANDS,games_routines,no,yes
1,12,YES,games_routines,NA,NA
1,12,AIRPLANE,vehicles,yes,no
1,12,AMBULANCE,vehicles,NA,NA
1,12,BICYCLE,vehicles,NA,NA
1,12,BOAT,vehicles,NA,NA
1,12,BUS,vehicles,NA,NA
1,12,FIRETRUCK,vehicles,NA,NA
1,12,HELICOPTER,vehicles,no,yes
1,12,MOTORCYCLE,vehicles,NA,NA
1,12,SLED,vehicles,NA,NA
1,12,TRAIN,vehicles,no,yes
1,12,TRUCK,vehicles,NA,NA
1,12,ANGRY,descriptive_words,NA,NA
1,12,BAD,descriptive_words,NA,NA
1,12,BETTER,descriptive_words,NA,NA
1,12,BIG,descriptive_words,NA,NA
1,12,BLACK,descriptive_words,NA,NA
1,12,BLUE,descriptive_words,NA,NA
1,12,BROWN,descriptive_words,NA,NA
1,12,CAREFUL,descriptive_words,NA,NA
1,12,COLD,descriptive_words,NA,NA
1,12,CRAZY,descriptive_words,NA,NA
1,12,CUTE,descriptive_words,NA,NA
1,12,DARK,descriptive_words,NA,NA
1,12,DEAF,descriptive_words,NA,NA
1,12,DELICIOUS,descriptive_words,NA,NA
1,12,DIRTY,descriptive_words,NA,NA
1,12,DRY,descriptive_words,NA,NA
1,12,EMPTY,descriptive_words,NA,NA
1,12,FAST,descriptive_words,NA,NA
1,12,FINE,descriptive_words,NA,NA
1,12,FIRST,descriptive_words,NA,NA
1,12,FULL,descriptive_words,NA,NA
1,12,FUNNY,descriptive_words,NA,NA
1,12,GOOD,descriptive_words,NA,NA
1,12,GREEN,descriptive_words,NA,NA
1,12,HAPPY,descriptive_words,NA,NA
